Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;MaxConfidence;BallWasHit;Distance;DistRemaining;TotalDistance
SuccessfulHit;2024-05-09 09:39:54.4591;20478;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7290;NULL;0.8030;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:39:54.8382;20533;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7412;25;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:54.8382;20533;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.8025;NULL;0.8223;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:56.3766;20770;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7609;26;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:56.3766;20770;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7428;NULL;0.8223;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:39:56.4905;20788;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7467;26;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:56.4905;20788;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7609;NULL;0.8223;FALSE;NULL;NULL;NULL
Resting;2024-05-09 09:39:57.0486;20875;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.6667;NULL;0.8223;TRUE;50.0000;0.0000;50.0000
MotorImagery;2024-05-09 09:40:07.2291;22420;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7777;27;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:40:07.2291;22420;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7404;NULL;0.7446;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:40:07.5013;22465;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7431;27;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:40:07.5013;22465;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7670;NULL;0.7872;TRUE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:40:07.5062;22466;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7798;28;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:40:07.5062;22466;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7431;NULL;0.7872;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:40:08.0145;22542;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7133;28;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:40:08.0145;22542;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7849;NULL;0.8376;TRUE;NULL;NULL;NULL
Resting;2024-05-09 09:40:11.1142;23001;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.5463;NULL;0.8376;TRUE;29.4413;20.5587;50.0000
MotorImagery;2024-05-09 09:40:21.6867;24582;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7594;29;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:40:21.6867;24582;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7138;NULL;0.7138;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:40:21.9380;24620;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7367;29;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:40:21.9380;24620;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7505;NULL;0.7709;TRUE;NULL;NULL;NULL
Resting;2024-05-09 09:40:25.1745;25120;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.1461;NULL;0.7709;TRUE;8.5003;41.4997;50.0000
GameStopped;2024-05-09 09:40:38.1701;27092;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
